G,R,2B,3B,HR,RBI,SO,BA,OPS,GDP,SF,Salary
57,37,10,0,7,26,57,0.243,0.763,6,2,6.168298141
52,23,9,3,8,31,40,0.242,0.753,6,4,5.992134436
51,23,12,2,8,23,38,0.241,0.826,1,0,6.086211934
60,35,12,0,9,40,33,0.241,0.788,4,6,6.748081628
56,33,10,0,12,30,42,0.239,0.789,4,0,6.575783355
51,24,7,1,8,27,49,0.239,0.716,5,1,5.269837552
53,20,10,0,2,15,49,0.238,0.659,2,0,6.436771933
57,34,8,0,16,33,54,0.237,0.833,2,1,6.026969009
56,33,8,0,11,31,73,0.233,0.738,4,2,5.691177147
57,27,12,1,6,22,27,0.232,0.658,6,5,6.434163623
52,13,5,0,2,15,54,0.232,0.593,2,2,6.049983474
57,31,6,0,16,35,61,0.231,0.817,4,1,5.329679235
58,22,7,0,7,23,35,0.23,0.661,3,0,5.962243557
46,27,7,0,8,27,58,0.23,0.773,4,2,6.776348393
44,29,4,2,6,12,48,0.228,0.736,3,0,5.300770996
48,27,9,0,9,23,36,0.228,0.76,1,1,6.310965593
50,14,13,1,3,20,51,0.227,0.614,5,3,5.375424326
57,22,3,0,8,22,59,0.226,0.669,3,4,6.196326832
54,35,9,0,16,40,50,0.226,0.864,6,4,6.454604763
54,32,8,0,11,22,43,0.226,0.8,5,0,6.913025537
60,37,11,2,14,34,69,0.225,0.784,5,1,6.719205529
54,28,10,2,6,21,38,0.225,0.793,4,0,6.536274741
52,28,8,3,6,24,72,0.225,0.705,1,2,6.083287147
53,28,9,1,7,23,50,0.223,0.679,3,0,6.62902891
58,26,6,0,11,24,38,0.222,0.755,6,2,6.732569477
54,25,11,0,9,32,46,0.222,0.713,4,1,5.273239708
52,20,5,1,3,15,53,0.22,0.608,0,2,5.287994615
48,32,9,0,5,18,39,0.219,0.629,5,0,6.933386845
52,23,6,1,9,26,66,0.215,0.714,4,1,5.27361813
54,27,8,1,6,25,58,0.213,0.704,7,3,5.269816926
54,22,16,0,7,27,59,0.213,0.68,6,2,6.89074914
54,22,7,3,4,20,41,0.212,0.605,5,2,6.360183649
59,30,4,0,13,32,85,0.212,0.707,7,2,5.280083961
53,15,4,0,5,22,41,0.211,0.606,1,4,6.469328007
58,39,7,1,12,22,76,0.205,0.786,4,0,6.611995588
53,31,12,0,13,25,90,0.204,0.757,3,0,5.992206752
59,27,9,1,8,24,75,0.203,0.599,8,2,6.515085575
57,29,8,0,15,38,67,0.202,0.781,5,1,6.360183649
56,15,8,0,1,13,41,0.201,0.552,1,0,5.271911602
60,34,7,0,8,30,43,0.199,0.699,5,1,6.117145391
60,28,4,1,14,42,77,0.195,0.734,2,0,5.295763751
58,36,4,0,12,27,60,0.192,0.72,3,2,6.634011261
55,24,6,2,7,19,57,0.189,0.632,2,0,5.285568687
59,30,6,0,11,24,66,0.188,0.701,3,0,6.360803509
57,23,8,0,10,26,79,0.181,0.679,0,0,6.158538316
54,19,7,0,8,26,84,0.176,0.599,3,1,5.629028459
123,81,32,0,18,56,109,0.335,0.865,12,2,6.098093119
144,97,36,9,32,92,86,0.329,0.981,7,2,6.252995079
130,100,29,3,44,97,118,0.329,1.1,8,3,6.940969699
145,109,33,2,26,102,90,0.327,0.893,14,4,7.03114633
146,117,44,3,34,126,86,0.319,1.01,13,9,7.226122933
133,83,38,1,23,75,75,0.318,0.916,5,1,5.706094688
155,102,31,2,41,118,93,0.315,0.962,14,8,7.367772811
132,83,34,5,25,79,154,0.315,0.915,1,3,5.711632928
140,112,42,7,32,86,104,0.314,0.94,11,5,7.274184378
